Epoch,Train Loss,Validation Loss
0,0.05518566386766049,0.07550347742975735
1,0.046942770869906295,0.05332530134159033
2,0.038783803720466435,0.0516935580822288
3,0.03442606206609172,0.052635210652738976
4,0.03180900300775683,0.05244478288162602
5,0.02980170686481171,0.05004142477212708
6,0.028695577308210225,0.049566670539763456
7,0.02740409527152907,0.049827297844114854
8,0.026556686629992644,0.049786488428874745
9,0.025767331343453263,0.04954339890572868
10,0.024886544065053806,0.04904874109871726
11,0.024399424239374926,0.04873703453750884
12,0.023863718403283687,0.04802111957649716
13,0.023430337895960527,0.04855275210094908
14,0.022986064738223906,0.047970832859883544
15,0.022561389110234108,0.048403715948915224
16,0.022328523325217342,0.0480655914508417
17,0.022008965403557346,0.04881456365065822
18,0.021650587587605137,0.0483273142144654
19,0.02131968077809009,0.048347315878246
