Epoch,Train Loss,Validation Loss
0,0.17370186596970097,0.2158078542236465
1,0.1648872759005877,0.17665058958925595
2,0.14745496695573326,0.17649399979009153
3,0.13673354671432097,0.17674258890566905
4,0.1295394400408703,0.1778595715514204
5,0.12401110359798818,0.1762383194918132
6,0.11967127619647669,0.1777420413181268
7,0.11665937355832237,0.1779756517617742
8,0.11360209243757098,0.17907505638856255
9,0.11125202870319009,0.1801886617396418
10,0.10880847276644556,0.18244178947164208
