Epoch,Train Loss,Validation Loss
0,0.1352805227413441,0.12919623512360784
1,0.08764680976465172,0.09067080496913857
2,0.08173082269774708,0.08940803565912776
3,0.07839216372325525,0.08943360907336076
4,0.07631699617596528,0.08913185782730579
5,0.07446582182364524,0.08871897223095099
6,0.07331137600737847,0.08894779607653618
7,0.07246888963294604,0.08882551048364905
8,0.07143296158800265,0.08896274053388172
9,0.07066504826086319,0.08852921161386702
10,0.07020147200956289,0.08934298459854391
11,0.06960544966486923,0.08955277800559998
12,0.06903306914893885,0.08957174432774385
13,0.06881768907105465,0.08918135691848066
14,0.0683589814551487,0.08880344294011593
