Epoch,Train Loss,Validation Loss
0,0.17311772350444635,0.23232835986762468
1,0.1631169447944377,0.185840296312935
2,0.14582973491767184,0.1827691356443988
3,0.13475745470154252,0.18258314649212545
4,0.12809369144849855,0.18312863106091407
5,0.12247537449344979,0.18151063576263468
6,0.1179935072361052,0.18128350037367233
7,0.11453097032617843,0.181587392338817
8,0.11113534472272718,0.1798932895141562
9,0.10926689740129863,0.18108126548133366
10,0.10696269329140355,0.17866776088358824
11,0.10497898026519449,0.1805567671906763
12,0.1037754069023321,0.17769540715094057
13,0.10187636929964296,0.17978057438999878
14,0.10064915645775054,0.1818687269184256
15,0.0994134713324145,0.17960200049562158
16,0.09848871114282512,0.17938407441031748
17,0.09743179787351323,0.17962294589206962
