Epoch,Train Loss,Validation Loss
0,0.05965612007444227,0.07493409478105605
1,0.048586369972689294,0.05612286460585892
2,0.03924927329545131,0.051245731664821506
3,0.034796410442406174,0.05028730937279761
4,0.03233525518152293,0.050990890646353364
5,0.030357612394711193,0.05076827703975141
6,0.02885648800437985,0.0495187808945775
7,0.02798213132365451,0.049077519848942756
8,0.027098517424138626,0.04867919887416065
9,0.026387639975944184,0.0486809862498194
10,0.025475237337090208,0.049119329983368515
11,0.024884649133972585,0.0493494151905179
12,0.024434527698771705,0.04843501421622932
13,0.02392026733232536,0.04834587736055255
14,0.02348793995752268,0.04861885822378099
15,0.023191264514012586,0.04875601405277848
16,0.02275143780337905,0.049386953497305514
17,0.02244447687229811,0.04793495919555426
18,0.022237656041449498,0.04907476102933288
19,0.021924968068968518,0.04883996807970106
20,0.02175791455048312,0.04869502347894013
21,0.021409486275451303,0.04909498098306358
22,0.021209071679504792,0.04929128996096552
