Epoch,Train Loss,Validation Loss
0,0.041738778822872316,0.052247827017649275
1,0.03638972780101945,0.04040754858221187
2,0.03075026098362223,0.038010865602581226
3,0.028289222881588354,0.03718998454144744
4,0.026683380189616086,0.03638932736885678
5,0.02560343336492907,0.03681949295022123
6,0.024659186421067954,0.03689421419196767
7,0.023877693475203743,0.036410247622047615
8,0.02340714578805532,0.036251757416080256
9,0.022851928063225016,0.03590064474427309
10,0.022407567859769648,0.03581951516858541
11,0.0219423647750348,0.035567026788908274
12,0.021717185329434393,0.035817753930723735
13,0.021404535142810585,0.035725537097193505
14,0.021110196696293406,0.03550788828380447
15,0.020865313154055563,0.0356107360067589
16,0.02065542375010044,0.03555746579064372
17,0.020413954524266406,0.0354534742712486
18,0.020299078993434208,0.035251004478889084
19,0.02014606669219821,0.0352559826779561
20,0.019962583138204818,0.03513541582544319
21,0.019828986893021643,0.03506509540348105
22,0.019674605458942302,0.03490587945803593
23,0.019566366903679078,0.034834828726499456
24,0.019437798573005146,0.0349330452825528
25,0.019356465250188606,0.0351874584057292
26,0.019233990491542754,0.03480571765920829
27,0.019145994909986138,0.03487518342222021
28,0.01905342480045739,0.034958904558192186
29,0.01895658816637951,0.034906141531190586
30,0.01887911984119483,0.034576384727257846
31,0.018805793026161245,0.03467483295361853
32,0.01873693678316591,0.034947012271223175
33,0.018668167355702172,0.03488043017807554
34,0.018600794297996825,0.03494398487233073
35,0.01855998963085064,0.03490805011140844
