Epoch,Train Loss,Validation Loss
0,0.12962341060899824,0.1456129760299315
1,0.12192774621339944,0.12729357640836492
2,0.11382218896288665,0.12402495583675427
3,0.10986987451317035,0.12222717290317546
4,0.1074116942065148,0.12263526788303972
5,0.10572717332212826,0.12119730653543045
6,0.10433188120972045,0.12045931537224594
7,0.10299300908330897,0.12059633171591679
8,0.10204870417832695,0.12104703993770663
9,0.10120052498436732,0.12377199151828969
10,0.10055651740030205,0.12034544277957032
11,0.09995318370172136,0.12080454147894289
12,0.0993983763163855,0.12046817178166778
13,0.0988989633126769,0.11987430931136595
14,0.09847997586143217,0.12008302608848284
15,0.09807683123978865,0.11999933221819681
16,0.09772612652506689,0.11968090997061916
17,0.09744513690616577,0.11960142205713847
18,0.0970862686014829,0.11936092060371484
19,0.09690421908948929,0.11993659745548024
20,0.096612319626922,0.11945653086601023
21,0.09639816984837293,0.11924666141331529
22,0.09609324458054375,0.11922986443315804
23,0.09588920202840755,0.11954621608530343
24,0.09573279918360035,0.11968127521556184
25,0.09554187968953008,0.11948150371373033
26,0.09537224890540702,0.11999081841061235
27,0.09525766749030505,0.11947360435011667
