Epoch,Train Loss,Validation Loss
0,0.09593381389843679,0.10111857495809856
1,0.07934823735097868,0.07766246266270939
2,0.07306789288017075,0.07499940258107687
3,0.06984159835012613,0.07514908899994273
4,0.06742711755224562,0.07427066260654676
5,0.06607655872945237,0.0738927052013184
6,0.06486074638973295,0.07376943697270594
7,0.06395483883674694,0.07387500997436675
8,0.06318925539344813,0.07363640771884668
9,0.06248848233866481,0.0732987059770446
10,0.0618294144560278,0.07345407409103293
11,0.06138939754295666,0.07330218786863904
12,0.06093776192746859,0.07304461892498167
13,0.06058948430669519,0.07313599680599413
14,0.06024963708709827,0.07342578635403985
15,0.05987624668771714,0.07308905546210315
16,0.059669420479145724,0.072973810155925
17,0.05937724961050316,0.0728853107086922
18,0.05910858507968683,0.07306793492875602
19,0.058905827405705914,0.0728105101342264
20,0.05867991224920328,0.07348241849165214
21,0.05847488376023495,0.07276709579715604
22,0.05830134064354728,0.07331896453703704
23,0.05810509072204607,0.07292286918351525
24,0.05793443230862639,0.0730416410847714
25,0.05782118313739785,0.07319550335799394
26,0.057679387027051596,0.07278030459818087
