Epoch,Train Loss,Validation Loss
0,0.05412506276692173,0.06453136407623165
1,0.040722717715641565,0.04147959790731731
2,0.034071871730606114,0.04116694687032386
3,0.03076696901590423,0.039436752211890726
4,0.02883902655469369,0.03762408533182583
5,0.027556549495630033,0.036856240994836156
6,0.02644584973845466,0.036827416443511056
7,0.025475883731964678,0.03713989917581019
8,0.024852615724260035,0.03696424438569106
9,0.024294980974719587,0.03728933599042265
10,0.023756180434957544,0.03693164296840366
11,0.023312188056091556,0.03684791842181431
