Epoch,Train Loss,Validation Loss
0,0.1646362323955548,0.16735803745687008
1,0.10125129746493183,0.10361713250167667
2,0.09340420685124032,0.10245888628996909
3,0.08884023534045013,0.09964496004395187
4,0.08542576950208038,0.10096777197904885
5,0.08254931821438297,0.10138617297634482
6,0.08046925610739224,0.0994603954255581
7,0.0786934008366681,0.10066292127594352
8,0.07724088967867646,0.10183040769770742
9,0.07593284339733872,0.10062116095796228
10,0.07497919316935152,0.1001771240029484
11,0.0740806475530292,0.09958957210183143
