Epoch,Train Loss,Validation Loss
0,0.18790208959684915,0.23097934067578604
1,0.17647938403947838,0.19545454387836034
2,0.16149009361141664,0.19030050003067564
3,0.15262541470414434,0.19015067231259952
4,0.14596453728067588,0.18962983708849268
5,0.14091524630923732,0.18937423808798606
6,0.13725787480283716,0.19141470871412952
7,0.1344034755377019,0.1899122963788101
8,0.13193044268996135,0.18883889345503643
9,0.1301046719486709,0.1897124818099138
10,0.1277976747345547,0.18897647402398493
11,0.12666445821384922,0.1880423153302946
12,0.12487558532138554,0.1894538720750677
13,0.12342876469928016,0.18911294696739364
14,0.12255254147827514,0.18908668655222952
15,0.12157635181948015,0.1884231798721282
16,0.12034110295511713,0.18872162687350374
